Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","2004","2004","t","2552","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","2005","2005","t","4326","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","2006","2006","t","3808","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","2007","2007","t","7703","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","2008","2008","t","3202","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","2009","2009","t","5857","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","2010","2010","t","6855","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","2011","2011","t","8771","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","2012","2012","t","8945","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","2013","2013","t","11600","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","2014","2014","t","17778.56","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","2015","2015","t","19630.76","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","2016","2016","t","8267.38","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","2017","2017","t","12855.22","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","2018","2018","t","10276.54","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","2019","2019","t","8554.8","I","Imputed value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","2020","2020","t","7671.73","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","2021","2021","t","10314.87","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","2022","2022","t","10966.76","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","1961","1961","t","0","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","1962","1962","t","0","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","1963","1963","t","4","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","1964","1964","t","2","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","1965","1965","t","2","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","1966","1966","t","3","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","1967","1967","t","7","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","1968","1968","t","4","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","1969","1969","t","4","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","1970","1970","t","4","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","1971","1971","t","2","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","1972","1972","t","6","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","1973","1973","t","189","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","1974","1974","t","9","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","1975","1975","t","54","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","1976","1976","t","175","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","1977","1977","t","84","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","1978","1978","t","78","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","1979","1979","t","113","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","1980","1980","t","340","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","1981","1981","t","643","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","1982","1982","t","1279","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","1983","1983","t","1861","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","1984","1984","t","1735","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","1985","1985","t","2176","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","1986","1986","t","3482","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","1987","1987","t","2565","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","1988","1988","t","2518","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","1989","1989","t","2771","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","1990","1990","t","1070","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","1991","1991","t","2064","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","1992","1992","t","3307","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","1993","1993","t","3012","A","Official figure",""
